TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
87025,6,14.8,1.2,2.818,2.899,4.044,3.071,4.227,2653.23,2254.846,3.862,6,20,-13,5.04,1.85,7.01,0,20
87126,6,14.8,1.4,2.781,2.837,3.995,3.037,4.188,2517.524,3143.898,3.816,20,20,-9,5.04,1.85,7.01,0,21
86382,6,14.8,1.4,2.78,2.838,3.849,3.03,4.185,2629.684,3166.811,3.913,-6,20,-17,5.04,1.85,7.01,0,20
77010,2,14.5,1.8,2.79,2.834,3.536,3.022,4.2,2757.921,3500,2.986,6,20,-15,5.04,1.85,7.01,0,10
88340,6,14.5,1.6,2.759,2.821,3.651,3,4.194,2488.661,2434.227,3.978,-6,21,-16,5.04,1.85,7.01,0,20
87103,6,14.6,1.6,2.746,2.807,3.651,2.986,4.204,2487.775,2021.665,4.539,-1,20,-16,5.04,1.85,7.01,0,20
87494,5,14.5,1.6,2.78,2.86,3.995,3.016,4.252,2457.266,2895.906,4.769,-9,20,-18,5.04,1.85,7.01,0,20
88923,6,14.6,1.4,2.811,2.904,3.82,3.056,4.311,2811.722,3394.929,5.094,1,19,-17,5.04,1.85,7.01,0,21
88018,6,14.6,1.2,2.786,2.857,3.792,3.028,4.313,2461.064,1837.981,4.782,3,19,-16,5.04,1.85,7.01,0,20
89468,5,15,1.1,2.93,3.044,3.941,3.137,4.516,2470.178,2125.85,3.924,21,19,-11,5.04,1.85,7.01,0,18
87328,4,15.2,1.1,2.815,2.869,3.784,3.03,4.362,2342.954,2730.957,3.664,-1,19,-17,5.04,1.85,7.01,0,16
87661,5,15,0.9,2.788,2.831,3.741,3.019,4.33,2426.631,3044.271,3.282,0,19,-17,5.04,1.85,7.01,0,18
88113,5,15,0.9,2.781,2.837,3.752,3.016,4.342,2469.166,1996.727,3.118,-2,20,-17,5.04,1.85,7.01,0,18
83438,3,14.8,0.5,2.72,2.739,3.7,2.956,4.246,2477.774,2870.081,2.517,2,19,-17,5.04,1.85,7.01,0,19
87216,3,14.8,0.5,2.783,2.84,3.694,3.009,4.358,2405.617,2536.386,2.318,-4,18,-17,5.04,1.85,7.01,0,19
86451,5,15,0.5,2.767,2.828,3.83,3,4.351,2376.754,3147.316,3.505,3,18,-17,5.04,1.85,7.01,0,20
86332,5,15,0.4,2.799,2.865,3.797,3.043,4.402,2352.322,2876.157,4.509,-6,19,-18,5.04,1.85,7.01,0,20
86614,4,15,0.4,2.793,2.849,3.845,3.017,4.359,2399.034,2507.017,4.337,-5,18,-18,5.04,1.85,7.01,0,16
86120,5,15.2,0.2,2.736,2.774,3.961,2.977,4.295,2400.68,2867.676,4.373,4,19,-18,5.04,1.85,7.01,0,18
86883,5,15,0.2,2.784,2.85,4.105,3.021,4.356,2358.272,2585.377,4.382,8,20,-14,5.04,1.85,7.01,0,16
86484,5,15,0,2.786,2.829,3.995,3.012,4.326,2440.556,2347.385,4.242,-4,21,-21,5.04,1.85,7.01,0,16
87526,4,15,0.2,2.754,2.798,3.747,2.981,4.301,2391.186,2536.512,4.322,3,20,-20,5.04,1.85,7.01,0,16
87296,5,14.6,-0.2,2.754,2.796,3.811,2.99,4.32,2445.873,3500,4.487,-6,22,-19,5.04,1.85,7.01,0,17
87837,5,15,-0.2,2.802,2.871,3.795,3.027,4.375,2338.904,2469.926,3.394,-1,23,-18,5.04,1.85,7.01,0,16
87979,6,15.2,-0.4,2.735,2.763,3.639,2.972,4.276,2437.391,2691.081,3.182,-7,23,-20,5.04,1.85,7.01,0,17
88438,6,15,-0.4,2.808,2.951,4.005,3.061,4.343,2007.107,2138.129,5.197,2,23,-19,5.04,1.85,7.01,0,17
85809,6,15.5,-0.4,2.778,2.837,3.954,3.061,4.333,2186.614,1545.555,4.487,10,23,-15,5.04,1.85,7.01,0,20
